kernel,dataset,rows,cols,nnzs,elapsed
cusparse,mac_econ_fwd500,206500,206500,1273389,0.557861
cusparse,cant,62451,62451,4007383,0.110107
cusparse,pdb1HYS,36417,36417,4344765,0.11792
cusparse,consph,83334,83334,6010480,0.13208
cusparse,mc2depi,525825,525825,2100225,0.100098
cusparse,cop20k_A,121192,121192,2624331,0.125977
cusparse,webbase-1M,1000005,1000005,3105536,0.129883
cusparse,GAP-road,23947347,23947347,57708624,1.6958
cusparse,thermal1,82654,82654,574458,0.11792
cusparse,rotor2,791,791,10685,0.0529785
cusparse,rotor1,100,100,708,0.046875
cusparse,robot,120,120,870,0.046875
cusparse,GL6_D_7,636,470,5378,0.0510254
cusparse,GL6_D_9,340,545,4349,0.052002
cusparse,GL6_D_10,163,341,2053,0.0500488
cusparse,GL6_D_6,469,201,2526,0.0529785
cusparse,GL6_D_8,544,637,6153,0.0500488
cusparse,thermal2,1228045,1228045,8580313,0.221191
cusparse,denormal,89400,89400,1156224,0.072998
cusparse,Delor64K,64719,1785345,652140,0.072998
cusparse,N_pid,3625,3923,8054,0.0549316
cusparse,Delor295K,295734,1823928,2401323,0.109863
cusparse,N_reactome,10204,16559,43816,0.0568848
cusparse,Delor338K,343236,887058,4211599,0.120117
cusparse,N_biocarta,1922,1996,4335,0.0510254
cusparse,2cubes_sphere,101492,101492,1647264,0.0888672
cusparse,offshore,259789,259789,4242673,0.124023
cusparse,Chem97ZtZ,2541,2541,7361,0.0541992
cusparse,Chem97Zt,2541,31022,62044,0.0561523
cusparse,sls,1748122,62729,6804304,0.188965
cusparse,ss1,205282,205282,845089,0.0761719
cusparse,power9,155376,155376,2512300,0.101074
cusparse,radiation,223104,223104,7637688,0.174072
cusparse,imagesensor,118758,118758,1893170,0.0917969
cusparse,vas_stokes_1M,1090664,1090664,34767207,0.491943
cusparse,dgreen,1200611,1200611,38259877,0.771973
cusparse,ss,1652680,1652680,34753577,0.519043
cusparse,test1,392908,392908,12968200,0.228027
cusparse,nv2,1453908,1453908,52728362,1.15601
cusparse,nv1,75468,75468,2449194,0.0991211
cusparse,mosfet2,46994,46994,1499460,0.0820312
cusparse,sts4098_b,4098,1,1612,0.059082
cusparse,sts4098,4098,4098,72356,0.0551758
cusparse,utm3060,3060,3060,42211,0.0549316
cusparse,utm1700b,1700,1700,21509,0.0488281
cusparse,utm300,300,300,3155,0.052002
cusparse,utm5940,5940,5940,83842,0.0551758
cusparse,vas_stokes_2M,2146677,2146677,65129037,0.873047
cusparse,msdoor,415863,415863,20240935,0.295166
cusparse,abtaha2,37932,331,137228,0.0629883
cusparse,abtaha1,14596,209,51307,0.0529785
cusparse,ramage02,16830,16830,2866352,0.102051
cusparse,pds10,16558,16558,149658,0.0561523
cusparse,marine1,400320,400320,6226538,0.145996
cusparse,jnlbrng1,40000,40000,199200,0.0610352
cusparse,s3dkt3m2,90449,90449,3753461,0.112793
cusparse,copter2,55476,55476,759952,0.0688477
cusparse,crankseg_2,63838,63838,14148858,0.204834
cusparse,hood,220542,220542,10768436,0.186035
cusparse,minsurfo,40806,40806,203622,0.0610352
cusparse,copter1,17222,17222,211064,0.0571289
cusparse,ldoor,952203,952203,46522475,0.610107
cusparse,oilpan,73752,73752,3597188,0.11084
cusparse,wathen120,36441,36441,565761,0.0600586
cusparse,opt1,15449,15449,1930655,0.0861816
cusparse,crankseg_1,52804,52804,10614210,0.170898
cusparse,obstclae,40000,40000,197608,0.0588379
cusparse,pwt,36519,36519,326107,0.0559082
cusparse,ford1,18728,18728,101576,0.0539551
cusparse,srb1,54924,54924,2962152,0.102051
cusparse,cvxbqp1,50000,50000,349968,0.0649414
cusparse,bmw7st_1,141347,141347,7339667,0.147949
cusparse,apache1,80800,80800,542184,0.0668945
cusparse,vanbody,47072,47072,2336898,0.0949707
cusparse,ford2,100196,100196,544688,0.0639648
cusparse,s3dkq4m2,90449,90449,4820891,0.119873
cusparse,vas_stokes_4M,4382246,4382246,131577616,1.72095
cusparse,wathen100,30401,30401,471601,0.0610352
cusparse,bmwcra_1,148770,148770,10644002,0.184082
cusparse,torsion1,40000,40000,197608,0.0588379
cusparse,gridgena,48962,48962,512084,0.0598145
cusparse,apache2,715176,715176,4817870,0.148193
cusparse,finance256,37376,37376,298496,0.0568848
cusparse,Alemdar,6245,6245,42581,0.0549316
cusparse,inline_1,503712,503712,36816342,0.474121
cusparse,viscorocks,37762,37762,1162244,0.0849609
cusparse,majorbasis,160000,160000,1750416,0.0917969
cusparse,largebasis,440020,440020,5560100,0.143066
cusparse,crashbasis,160000,160000,1750416,0.0881348
cusparse,audikw_1,943695,943695,77651847,0.927979
cusparse,ESOC,327062,37830,6019939,0.138916
cusparse,af_shell6,504855,504855,17588875,0.271973
cusparse,af_shell1,504855,504855,17588875,0.268066
cusparse,af_2_k101,503625,503625,17550675,0.27002
cusparse,af_3_k101,503625,503625,17550675,0.2771
cusparse,af_shell5,504855,504855,17588875,0.268799
cusparse,af_shell8,504855,504855,17588875,0.276855
cusparse,af_shell2,504855,504855,17588875,0.275146
cusparse,af_1_k101,503625,503625,17550675,0.273193
cusparse,af_shell7,504855,504855,17588875,0.273926
cusparse,af_5_k101,503625,503625,17550675,0.274902
cusparse,af_shell10,1508065,1508065,52672325,0.704834
cusparse,af_shell3,504855,504855,17588875,0.2771
cusparse,af_shell9,504855,504855,17588875,0.269043
cusparse,af_0_k101,503625,503625,17550675,0.2771
cusparse,xenon2,157464,157464,3866688,0.117188
cusparse,xenon1,48600,48600,1181120,0.0761719
cusparse,af_shell4,504855,504855,17588875,0.278076
cusparse,af_4_k101,503625,503625,17550675,0.27417
cusparse,Goodwin_071,56021,56021,1797934,0.0830078
cusparse,Goodwin_095,100037,100037,3226066,0.104004
cusparse,Goodwin_040,17922,17922,561677,0.0610352
cusparse,goodwin,7320,7320,324784,0.0588379
cusparse,Goodwin_023,6005,6005,182168,0.059082
cusparse,Goodwin_054,32510,32510,1030878,0.0761719
cusparse,Goodwin_127,178437,178437,5778545,0.13501
cusparse,Goodwin_013,1965,1965,56069,0.0529785
cusparse,Goodwin_030,10142,10142,312814,0.0578613
cusparse,rim,22560,22560,1014951,0.0791016
cusparse,Goodwin_010,1182,1182,32282,0.0480957
cusparse,Goodwin_017,3317,3317,97773,0.0588379
cusparse,NotreDame_yeast,2114,2114,4480,0.052002
cusparse,NotreDame_www,325729,325729,929849,0.097168
cusparse,NotreDame_actors,392400,127823,1470404,0.0949707
cusparse,ecl32,51993,51993,380415,0.0629883
cusparse,enron,69244,69244,276143,0.0671387
cusparse,dblp-2010,326186,326186,1615400,0.0910645
cusparse,cnr-2000,325557,325557,3216152,0.114014
cusparse,amazon-2008,735323,735323,5158388,0.150879
cusparse,hollywood-2009,1139905,1139905,113891327,1.46289
cusparse,indochina-2004,7414866,7414866,194109311,2.48291
cusparse,eu-2005,862664,862664,19235140,0.315918
cusparse,uk-2002,18520486,18520486,298113762,4.25586
cusparse,ljournal-2008,5363260,5363260,79023142,2.16895
cusparse,in-2004,1382908,1382908,16917053,0.307129
cusparse,li,22695,22695,1350309,0.0788574
cusparse,pli,22695,22695,1350309,0.0800781
cusparse,t2dal_bci_C,7,4257,7,0.0449219
cusparse,t2dal_bci,4257,4257,37465,0.052002
cusparse,t2dal_bci_Aside,4257,4257,31,0.0461426
cusparse,t2dal_bci_B,4257,1,124,0.0529785
cusparse,t2dal_bci_E,4257,4257,4257,0.0549316
cusparse,t2dal_bci_Atop,4257,4257,111,0.0559082
cusparse,t2dal_bci_Abottom,4257,4257,99,0.0559082
cusparse,rail_79841_B,79841,7,1377,0.25
cusparse,rail_79841,79841,79841,553921,0.0668945
cusparse,rail_79841_C,6,79841,17,0.0490723
cusparse,rail_79841_E,79841,79841,554913,0.065918
cusparse,LFAT5000_B,19994,1,1,0.0500488
cusparse,LFAT5000_E,19994,19994,79966,0.0549316
cusparse,LFAT5000_M,19994,19994,79966,0.0688477
cusparse,LFAT5000,19994,19994,79966,0.0500488
cusparse,filter3D_C,5,106437,5,0.0449219
cusparse,LFAT5000_C,1,19994,1,0.0349121
cusparse,filter3D_E,106437,106437,2707145,0.10498
cusparse,filter3D,106437,106437,2707179,0.100098
cusparse,filter3D_B,106437,1,7055,0.0959473
cusparse,windscreen_B,22692,1,1,0.0500488
cusparse,t3dh_e,79171,79171,4352105,0.124023
cusparse,windscreen_M,22692,22692,1481988,0.0800781
cusparse,t2dal_e,4257,4257,4257,0.0539551
cusparse,filter2D,1668,1668,10750,0.052002
cusparse,filter2D_C,5,1668,5,0.0480957
cusparse,filter2D_B,1668,1,503,0.0529785
cusparse,filter2D_E,1668,1668,1668,0.0419922
cusparse,chipcool1_B,20082,1,246,0.0571289
cusparse,chipcool1,20082,20082,281150,0.0581055
cusparse,chipcool1_E,20082,20082,20082,0.059082
cusparse,chipcool1_C,5,20082,5,0.0471191
cusparse,LF10000_M,19998,19998,99982,0.0559082
cusparse,LF10000_C,1,19998,1,0.0397949
cusparse,LF10000_B,19998,1,1,0.052002
cusparse,LF10000_E,19998,19998,99982,0.052002
cusparse,LF10_E,18,18,82,0.0480957
