kernel,dataset,rows,cols,nnzs,elapsed
merge-path,144,144649,144649,2148786,0.0720215
merge-path,08blocks,300,300,592,0.0170898
merge-path,1138_bus,1138,1138,4054,0.0200195
merge-path,12month1,12471,872622,22624727,0.322021
merge-path,130bit,584,575,6120,0.0200195
merge-path,145bit,1002,993,11315,0.019043
merge-path,162bit,3606,3597,37118,0.0200195
merge-path,176bit,7441,7431,82270,0.0200195
merge-path,192bit,13691,13682,154303,0.0229492
merge-path,208bit,24430,24421,299756,0.0280762
merge-path,2cubes_sphere,101492,101492,1647264,0.0458984
merge-path,2D_27628_bjtcai,27628,27628,442898,0.027832
merge-path,2D_54019_highK,54019,54019,996414,0.0400391
merge-path,333SP,3712815,3712815,22217266,0.698975
merge-path,3D_28984_Tetra,28984,28984,599170,0.0297852
merge-path,3D_51448_3D,51448,51448,1056610,0.0390625
merge-path,3Dspectralwave_b,680943,1,1,0.0229492
merge-path,3Dspectralwave2_b,292008,1,1,0.0209961
merge-path,3dtube,45330,45330,3213618,0.0700684
merge-path,3elt,4720,4720,27444,0.0219727
merge-path,3elt_dual,9000,9000,26556,0.0200195
merge-path,494_bus,494,494,1666,0.0197754
merge-path,598a,110971,110971,1483868,0.0620117
merge-path,662_bus,662,662,2474,0.0200195
merge-path,685_bus,685,685,3249,0.0200195
merge-path,a0nsdsil,80016,80016,355034,0.0251465
merge-path,a2nnsnsl,80016,80016,347222,0.0249023
merge-path,a5esindl,60008,60008,255004,0.0229492
merge-path,aa01,823,8904,72965,0.019043
merge-path,aa03,825,8627,70806,0.019043
merge-path,aa3,825,8627,70806,0.019043
merge-path,aa4,426,7195,52121,0.0180664
merge-path,aa5,801,8308,65953,0.019043
merge-path,aa6,646,7292,51728,0.019043
merge-path,ABACUS_shell_hd_b,23412,1,1,0.019043
merge-path,ABACUS_shell_hd_c,1,23412,1,0.0141602
merge-path,ABACUS_shell_hd_E,23412,23412,19216,0.0200195
merge-path,ABACUS_shell_hd_K,23412,23412,216082,0.0229492
merge-path,ABACUS_shell_hd_M,23412,23412,206474,0.0380859
merge-path,ABACUS_shell_hd_Mzeros,23412,23412,12010,0.0197754
merge-path,ABACUS_shell_ld_b,23412,1,1,0.0200195
merge-path,ABACUS_shell_ld_c,1,23412,1,0.0141602
merge-path,ABACUS_shell_ld_E,23412,23412,19216,0.019043
merge-path,ABACUS_shell_ld_K,23412,23412,216082,0.0231934
merge-path,ABACUS_shell_ld_M,23412,23412,206474,0.0229492
merge-path,ABACUS_shell_ld_Mzeros,23412,23412,12010,0.0200195
merge-path,ABACUS_shell_md_b,23412,1,1,0.0180664
merge-path,ABACUS_shell_md_c,1,23412,1,0.0151367
merge-path,ABACUS_shell_md_E,23412,23412,19216,0.019043
merge-path,ABACUS_shell_md_K,23412,23412,216082,0.0219727
merge-path,ABACUS_shell_md_M,23412,23412,206474,0.0241699
merge-path,ABACUS_shell_md_Mzeros,23412,23412,12010,0.019043
merge-path,ABACUS_shell_ud,23412,23412,218484,0.0229492
merge-path,ABACUS_shell_ud_b,23412,1,1,0.019043
merge-path,ABACUS_shell_ud_c,1,23412,1,0.0158691
merge-path,ABACUS_shell_ud_K,23412,23412,216082,0.0219727
merge-path,ABACUS_shell_ud_M,23412,23412,206474,0.0229492
merge-path,abb313,313,176,1557,0.0187988
merge-path,abtaha1,14596,209,51307,0.0209961
merge-path,abtaha2,37932,331,137228,0.0219727
merge-path,ACTIVSg10K,20000,20000,137736,0.0209961
