kernel,dataset,rows,cols,nnzs,elapsed
group-mapped,cant,62451,62451,4007383,0.346112
group-mapped,mac_econ_fwd500,206500,206500,1273389,0.059392
group-mapped,pdb1HYS,36417,36417,4344765,0.270336
group-mapped,consph,83334,83334,6010480,0.241664
group-mapped,mc2depi,525825,525825,2100225,0.070656
group-mapped,cop20k_A,121192,121192,2624331,0.144384
group-mapped,webbase-1M,1000005,1000005,3105536,2.02749
group-mapped,GAP-road,23947347,23947347,57708624,2.05005
group-mapped,thermal1,82654,82654,574458,0.053248
group-mapped,thermal2,1228045,1228045,8580313,0.262144
group-mapped,rotor2,791,791,10685,0.028672
group-mapped,rotor1,100,100,708,0.018432
group-mapped,robot,120,120,870,0.018464
group-mapped,GL6_D_7,636,470,5378,0.02048
group-mapped,GL6_D_9,340,545,4349,0.026624
group-mapped,GL6_D_10,163,341,2053,0.028672
group-mapped,GL6_D_6,469,201,2526,0.016384
group-mapped,GL6_D_8,544,637,6153,0.024576
group-mapped,denormal,89400,89400,1156224,0.057344
group-mapped,Delor338K,343236,887058,4211599,0.160768
group-mapped,Delor64K,64719,1785345,652140,0
group-mapped,Delor295K,295734,1823928,2401323,0.091136
group-mapped,N_pid,3625,3923,8054,0.016384
group-mapped,N_reactome,10204,16559,43816,0.036832
group-mapped,N_biocarta,1922,1996,4335,0.017408
group-mapped,offshore,259789,259789,4242673,0.195584
group-mapped,2cubes_sphere,101492,101492,1647264,0.12592
group-mapped,2cubes_sphere_b,0,0,0,0.006144
group-mapped,sls,1748122,62729,6804304,0.167936
group-mapped,Chem97ZtZ,2541,2541,7361,0.04096
group-mapped,Chem97Zt,2541,31022,62044,0.355328
group-mapped,dgreen,1200611,1200611,38259877,2.08077
group-mapped,vas_stokes_1M,1090664,1090664,34767207,1.56979
group-mapped,ss1,205282,205282,845089,0.04096
group-mapped,ss,1652680,1652680,34753577,1.15098
group-mapped,power9,155376,155376,2512300,0.217088
group-mapped,radiation,223104,223104,7637688,0.47616
group-mapped,imagesensor,118758,118758,1893170,0.080896
group-mapped,nv2,1453908,1453908,52728362,2.72794
group-mapped,vas_stokes_4M,4382246,4382246,131577616,5.12304
group-mapped,vas_stokes_2M,2146677,2146677,65129037,2.71565
group-mapped,test1,392908,392908,12968200,0.600064
group-mapped,stokes,11449533,11449533,349321980,12.7324
group-mapped,nv1,75468,75468,2449194,0.125952
group-mapped,mosfet2,46994,46994,1499460,0.084992
group-mapped,sts4098_b,4098,1,1612,0.009216
group-mapped,sts4098,4098,4098,72356,0.057344
group-mapped,utm3060,3060,3060,42211,0.023552
group-mapped,utm3060_b,0,0,0,0.007168
group-mapped,utm1700b,1700,1700,21509,0.023552
group-mapped,utm1700b_b,0,0,0,0.006144
group-mapped,utm300,300,300,3155,0.08704
group-mapped,utm5940_b,0,0,0,0.006176
group-mapped,utm5940,5940,5940,83842,0.026656
group-mapped,msdoor,415863,415863,20240935,0.738272
group-mapped,marine1,400320,400320,6226538,0.232448
group-mapped,abtaha2,37932,331,137228,0.017408
group-mapped,abtaha1,14596,209,51307,0.01536
group-mapped,ramage02,16830,16830,2866352,0.260128
group-mapped,pds10,16558,16558,149658,0.03584
group-mapped,jnlbrng1,40000,40000,199200,0.018464
group-mapped,ldoor,952203,952203,46522475,1.60666
group-mapped,s3dkt3m2,90449,90449,3753461,0.16384
group-mapped,s3dkt3m2_coord,0,0,0,0.006144
group-mapped,copter2,55476,55476,759952,0.053248
group-mapped,crankseg_2,63838,63838,14148858,0.975872
group-mapped,hood,220542,220542,10768436,0.43008
group-mapped,minsurfo,40806,40806,203622,0.021504
group-mapped,copter1,17222,17222,211064,0.029696
group-mapped,oilpan,73752,73752,3597188,0.154624
group-mapped,crankseg_1,52804,52804,10614210,0.795648
group-mapped,wathen120,36441,36441,565761,0.043008
group-mapped,opt1,15449,15449,1930655,0.217088
group-mapped,pwt,36519,36519,326107,0.032768
group-mapped,obstclae,40000,40000,197608,0.021504
group-mapped,ford1,18728,18728,101576,0.024576
group-mapped,bmw7st_1,141347,141347,7339667,0.374784
group-mapped,srb1,54924,54924,2962152,0.16384
group-mapped,cvxbqp1,50000,50000,349968,0.027648
group-mapped,apache1,80800,80800,542184,0.031744
group-mapped,audikw_1,943695,943695,77651847,2.54666
group-mapped,vanbody,47072,47072,2336898,0.15664
group-mapped,ford2,100196,100196,544688,0.06144
group-mapped,s3dkq4m2,90449,90449,4820891,0.175104
