dataset,rows,cols,nnzs,merge-path,thread-mapped,group-mapped,minimum,elapsed,cusparse,speed-up,kernel,oracle-speed-up-kernel,oracle-speed-up
144,144649,144649,2148786,0.0720215,0.0910645,0.121888,0.0720215,0.0720215,0.111084,1.542372764,merge-path,merge-path,1.542372764
08blocks,300,300,592,0.0170898,0.0129395,0.013312,0.0129395,0.0129395,0.046875,3.622628386,thread-mapped,thread-mapped,3.622628386
1138_bus,1138,1138,4054,0.0200195,0.0129395,0.015392,0.0129395,0.0129395,0.0480957,3.716967425,group-mapped,thread-mapped,3.716967425
12month1,12471,872622,22624727,0.322021,7.06201,,0.322021,0.322021,0.348145,1.081125144,merge-path,merge-path,1.081125144
130bit,584,575,6120,0.0200195,0.012207,0.022528,0.012207,0.012207,0.0510254,4.180011469,group-mapped,thread-mapped,4.180011469
145bit,1002,993,11315,0.019043,0.0129395,0.024576,0.0129395,0.019043,0.0510254,2.679483275,merge-path,thread-mapped,3.943382665
162bit,3606,3597,37118,0.0200195,0.0129395,0.022528,0.0129395,0.0200195,0.052002,2.597567372,merge-path,thread-mapped,4.018856988
176bit,7441,7431,82270,0.0200195,0.0129395,0.0256,0.0129395,0.0200195,0.0539551,2.695127251,merge-path,thread-mapped,4.169797906
192bit,13691,13682,154303,0.0229492,0.013916,0.028672,0.013916,0.0229492,0.0539551,2.351066704,merge-path,thread-mapped,3.877198908
208bit,24430,24421,299756,0.0280762,0.0158691,0.03584,0.0158691,0.0280762,0.0510254,1.817389818,merge-path,thread-mapped,3.215393438
2cubes_sphere,101492,101492,1647264,0.0458984,0.0568848,0.12592,0.0458984,0.0458984,0.0788574,1.718086034,merge-path,merge-path,1.718086034
2D_27628_bjtcai,27628,27628,442898,0.027832,0.0170898,0.048128,0.0170898,0.027832,0.0568848,2.043863179,merge-path,thread-mapped,3.328581961
2D_54019_highK,54019,54019,996414,0.0400391,0.114014,0.105472,0.0400391,0.0400391,0.0671387,1.6768284,merge-path,merge-path,1.6768284
333SP,3712815,3712815,22217266,0.698975,1.11792,1.17555,0.698975,0.698975,0.713867,1.021305483,merge-path,merge-path,1.021305483
3D_28984_Tetra,28984,28984,599170,0.0297852,0.192871,0.339968,0.0297852,0.0297852,0.059082,1.983602595,merge-path,merge-path,1.983602595
3D_51448_3D,51448,51448,1056610,0.0390625,0.391113,0.410592,0.0390625,0.0390625,0.0710449,1.81874944,merge-path,merge-path,1.81874944
3Dspectralwave_b,680943,1,1,0.0229492,0.019043,,0.019043,0.019043,0.0559082,2.935892454,group-mapped,thread-mapped,2.935892454
3Dspectralwave2_b,292008,1,1,0.0209961,0.013916,,0.013916,0.013916,0.0529785,3.807020696,thread-mapped,thread-mapped,3.807020696
3dtube,45330,45330,3213618,0.0700684,0.302979,,0.0700684,0.0700684,0.104004,1.484321035,merge-path,merge-path,1.484321035
3elt,4720,4720,27444,0.0219727,0.0112305,,0.0112305,0.0219727,0.0529785,2.411105599,merge-path,thread-mapped,4.717376786
3elt_dual,9000,9000,26556,0.0200195,0.0100098,,0.0100098,0.0200195,0.0529785,2.646344814,merge-path,thread-mapped,5.29266319
494_bus,494,494,1666,0.0197754,0.0119629,0.01536,0.0119629,0.0119629,0.0432129,3.612242851,thread-mapped,thread-mapped,3.612242851
598a,110971,110971,1483868,0.0620117,0.0617676,0.094208,0.0617676,0.0620117,0.0949707,1.531496476,merge-path,thread-mapped,1.537548812
662_bus,662,662,2474,0.0200195,0.012207,0.01536,0.012207,0.012207,0.0559082,4.580011469,group-mapped,thread-mapped,4.580011469
685_bus,685,685,3249,0.0200195,0.0151367,0.016384,0.0151367,0.0151367,0.0461426,3.048392318,group-mapped,thread-mapped,3.048392318
a0nsdsil,80016,80016,355034,0.0251465,0.254883,0.402432,0.0251465,0.0251465,0.0600586,2.388348279,merge-path,merge-path,2.388348279
a2nnsnsl,80016,80016,347222,0.0249023,0.262939,0.398336,0.0249023,0.0249023,0.0598145,2.401966887,merge-path,merge-path,2.401966887
a5esindl,60008,60008,255004,0.0229492,0.434082,0.58368,0.0229492,0.0229492,0.0578613,2.52127743,merge-path,merge-path,2.52127743
aa01,823,8904,72965,0.019043,0.0349121,,0.019043,0.019043,0.0458984,2.410250486,merge-path,merge-path,2.410250486
aa03,825,8627,70806,0.019043,0.0410156,,0.019043,0.019043,0.0498047,2.61538098,merge-path,merge-path,2.61538098
aa3,825,8627,70806,0.019043,0.0400391,,0.019043,0.019043,0.0498047,2.61538098,merge-path,merge-path,2.61538098
aa4,426,7195,52121,0.0180664,0.0380859,,0.0180664,0.0180664,0.0471191,2.608106762,merge-path,merge-path,2.608106762
aa5,801,8308,65953,0.019043,0.0300293,,0.019043,0.019043,0.0478516,2.512818358,merge-path,merge-path,2.512818358
aa6,646,7292,51728,0.019043,0.0380859,,0.019043,0.019043,0.0480957,2.525636717,merge-path,merge-path,2.525636717
ABACUS_shell_hd_b,23412,1,1,0.019043,0.0109863,0.017408,0.0109863,0.0109863,0.0388184,3.533346076,thread-mapped,thread-mapped,3.533346076
ABACUS_shell_hd_c,1,23412,1,0.0141602,0.0109863,0.012288,0.0109863,0.0109863,0.0361328,3.288896171,group-mapped,thread-mapped,3.288896171
