kernel,dataset,rows,cols,nnzs,elapsed
thread-mapped,144,144649,144649,2148786,0.0910645
thread-mapped,08blocks,300,300,592,0.0129395
thread-mapped,1138_bus,1138,1138,4054,0.0129395
thread-mapped,12month1,12471,872622,22624727,7.06201
thread-mapped,130bit,584,575,6120,0.012207
thread-mapped,145bit,1002,993,11315,0.0129395
thread-mapped,162bit,3606,3597,37118,0.0129395
thread-mapped,176bit,7441,7431,82270,0.0129395
thread-mapped,192bit,13691,13682,154303,0.013916
thread-mapped,208bit,24430,24421,299756,0.0158691
thread-mapped,2cubes_sphere,101492,101492,1647264,0.0568848
thread-mapped,2D_27628_bjtcai,27628,27628,442898,0.0170898
thread-mapped,2D_54019_highK,54019,54019,996414,0.114014
thread-mapped,333SP,3712815,3712815,22217266,1.11792
thread-mapped,3D_28984_Tetra,28984,28984,599170,0.192871
thread-mapped,3D_51448_3D,51448,51448,1056610,0.391113
thread-mapped,3Dspectralwave_b,680943,1,1,0.019043
thread-mapped,3Dspectralwave2_b,292008,1,1,0.013916
thread-mapped,3dtube,45330,45330,3213618,0.302979
thread-mapped,3elt,4720,4720,27444,0.0112305
thread-mapped,3elt_dual,9000,9000,26556,0.0100098
thread-mapped,494_bus,494,494,1666,0.0119629
thread-mapped,598a,110971,110971,1483868,0.0617676
thread-mapped,662_bus,662,662,2474,0.012207
thread-mapped,685_bus,685,685,3249,0.0151367
thread-mapped,a0nsdsil,80016,80016,355034,0.254883
thread-mapped,a2nnsnsl,80016,80016,347222,0.262939
thread-mapped,a5esindl,60008,60008,255004,0.434082
thread-mapped,aa01,823,8904,72965,0.0349121
thread-mapped,aa03,825,8627,70806,0.0410156
thread-mapped,aa3,825,8627,70806,0.0400391
thread-mapped,aa4,426,7195,52121,0.0380859
thread-mapped,aa5,801,8308,65953,0.0300293
thread-mapped,aa6,646,7292,51728,0.0380859
thread-mapped,ABACUS_shell_hd_b,23412,1,1,0.0109863
thread-mapped,ABACUS_shell_hd_c,1,23412,1,0.0109863
thread-mapped,ABACUS_shell_hd_E,23412,23412,19216,0.0119629
thread-mapped,ABACUS_shell_hd_K,23412,23412,216082,0.0129395
thread-mapped,ABACUS_shell_hd_M,23412,23412,206474,0.0129395
thread-mapped,ABACUS_shell_hd_Mzeros,23412,23412,12010,0.012207
thread-mapped,ABACUS_shell_ld_b,23412,1,1,0.0100098
thread-mapped,ABACUS_shell_ld_c,1,23412,1,0.0109863
thread-mapped,ABACUS_shell_ld_E,23412,23412,19216,0.013916
thread-mapped,ABACUS_shell_ld_K,23412,23412,216082,0.0129395
thread-mapped,ABACUS_shell_ld_M,23412,23412,206474,0.019043
thread-mapped,ABACUS_shell_ld_Mzeros,23412,23412,12010,0.0119629
thread-mapped,ABACUS_shell_md_b,23412,1,1,0.0109863
thread-mapped,ABACUS_shell_md_c,1,23412,1,0.0109863
thread-mapped,ABACUS_shell_md_E,23412,23412,19216,0.0119629
thread-mapped,ABACUS_shell_md_K,23412,23412,216082,0.0131836
thread-mapped,ABACUS_shell_md_M,23412,23412,206474,0.0129395
thread-mapped,ABACUS_shell_md_Mzeros,23412,23412,12010,0.0119629
thread-mapped,ABACUS_shell_ud,23412,23412,218484,0.0119629
thread-mapped,ABACUS_shell_ud_b,23412,1,1,0.0100098
thread-mapped,ABACUS_shell_ud_c,1,23412,1,0.0109863
thread-mapped,ABACUS_shell_ud_K,23412,23412,216082,0.0161133
thread-mapped,ABACUS_shell_ud_M,23412,23412,206474,0.0170898
thread-mapped,abb313,313,176,1557,0.012207
thread-mapped,abtaha1,14596,209,51307,0.0129395
thread-mapped,abtaha2,37932,331,137228,0.0129395
thread-mapped,ACTIVSg10K,20000,20000,137736,0.0148926
thread-mapped,ACTIVSg2000,4000,4000,29336,0.0168457
thread-mapped,ACTIVSg70K,69999,69999,238627,0.013916
thread-mapped,adaptive,6815744,6815744,27248640,0.595947
thread-mapped,add20,2395,2395,17319,0.0170898
thread-mapped,add32,4960,4960,23884,0.0141602
thread-mapped,adder_dcop_01,1813,1813,11156,0.0629883
thread-mapped,adder_dcop_02,1813,1813,11246,0.0649414
thread-mapped,adder_dcop_03,1813,1813,11148,0.0629883
thread-mapped,adder_dcop_04,1813,1813,11107,0.0639648
thread-mapped,adder_dcop_05,1813,1813,11097,0.0639648
thread-mapped,adder_dcop_06,1813,1813,11224,0.0639648
thread-mapped,adder_dcop_07,1813,1813,11226,0.0639648
thread-mapped,adder_dcop_08,1813,1813,11242,0.0629883
thread-mapped,adder_dcop_09,1813,1813,11239,0.065918
thread-mapped,adder_dcop_10,1813,1813,11232,0.0639648
thread-mapped,adder_dcop_11,1813,1813,11243,0.0639648
thread-mapped,adder_dcop_12,1813,1813,11246,0.0620117
thread-mapped,adder_dcop_13,1813,1813,11245,0.0678711
thread-mapped,adder_dcop_14,1813,1813,11246,0.064209
thread-mapped,adder_dcop_15,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_16,1813,1813,11246,0.0649414
thread-mapped,adder_dcop_17,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_18,1813,1813,11246,0.0620117
thread-mapped,adder_dcop_19,1813,1813,11245,0.0668945
thread-mapped,adder_dcop_20,1813,1813,11246,0.0620117
thread-mapped,adder_dcop_21,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_22,1813,1813,11246,0.0649414
thread-mapped,adder_dcop_23,1813,1813,11246,0.064209
thread-mapped,adder_dcop_24,1813,1813,11246,0.059082
thread-mapped,adder_dcop_25,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_26,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_27,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_28,1813,1813,11246,0.0678711
thread-mapped,adder_dcop_29,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_30,1813,1813,11246,0.0649414
thread-mapped,adder_dcop_31,1813,1813,11246,0.0649414
thread-mapped,adder_dcop_32,1813,1813,11246,0.0649414
thread-mapped,adder_dcop_33,1813,1813,11246,0.0668945
thread-mapped,adder_dcop_34,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_35,1813,1813,11246,0.0629883
thread-mapped,adder_dcop_36,1813,1813,11246,0.0661621
thread-mapped,adder_dcop_37,1813,1813,11246,0.0651855
thread-mapped,adder_dcop_38,1813,1813,11246,0.0600586
thread-mapped,adder_dcop_39,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_40,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_41,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_42,1813,1813,11246,0.059082
thread-mapped,adder_dcop_43,1813,1813,11246,0.0651855
thread-mapped,adder_dcop_44,1813,1813,11245,0.0671387
thread-mapped,adder_dcop_45,1813,1813,11246,0.0649414
thread-mapped,adder_dcop_46,1813,1813,11246,0.0678711
thread-mapped,adder_dcop_47,1813,1813,11246,0.065918
thread-mapped,adder_dcop_48,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_49,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_50,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_51,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_52,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_53,1813,1813,11246,0.0649414
thread-mapped,adder_dcop_54,1813,1813,11246,0.0678711
thread-mapped,adder_dcop_55,1813,1813,11246,0.0649414
thread-mapped,adder_dcop_56,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_57,1813,1813,11246,0.0649414
thread-mapped,adder_dcop_58,1813,1813,11246,0.0649414
thread-mapped,adder_dcop_59,1813,1813,11246,0.065918
thread-mapped,adder_dcop_60,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_61,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_62,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_63,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_64,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_65,1813,1813,11246,0.0639648
thread-mapped,adder_dcop_66,1813,1813,11246,0.0649414
thread-mapped,adder_dcop_67,1813,1813,11246,0.0600586
thread-mapped,adder_dcop_68,1813,1813,11246,0.0688477
thread-mapped,adder_dcop_69,1813,1813,11246,0.0598145
thread-mapped,adder_trans_01,1814,1814,14579,0.072998
thread-mapped,adder_trans_02,1814,1814,14579,0.0739746
thread-mapped,adjnoun,112,112,850,0.0129395
thread-mapped,af_0_k101,503625,503625,17550675,0.98584
thread-mapped,af_1_k101,503625,503625,17550675,0.976074
thread-mapped,af_2_k101,503625,503625,17550675,0.971924
thread-mapped,af_3_k101,503625,503625,17550675,0.98291
thread-mapped,af_4_k101,503625,503625,17550675,0.98291
thread-mapped,af_5_k101,503625,503625,17550675,0.961914
thread-mapped,af_shell1,504855,504855,17588875,0.980957
thread-mapped,af_shell10,1508065,1508065,52672325,2.96899
thread-mapped,af_shell2,504855,504855,17588875,0.98291
